D:\drive_sim\data_car\IMG\center_2021_07_10_15_32_18_617.jpg, D:\drive_sim\data_car\IMG\left_2021_07_10_15_32_18_617.jpg, D:\drive_sim\data_car\IMG\right_2021_07_10_15_32_18_617.jpg, 0, 0, 0, 7.854919E-05
D:\drive_sim\data_car\IMG\center_2021_07_10_15_32_18_719.jpg, D:\drive_sim\data_car\IMG\left_2021_07_10_15_32_18_719.jpg, D:\drive_sim\data_car\IMG\right_2021_07_10_15_32_18_719.jpg, 0, 0, 0, 8.067816E-05
D:\drive_sim\data_car\IMG\center_2021_07_10_15_32_18_819.jpg, D:\drive_sim\data_car\IMG\left_2021_07_10_15_32_18_819.jpg, D:\drive_sim\data_car\IMG\right_2021_07_10_15_32_18_819.jpg, 0, 0, 0, 7.962915E-05
D:\drive_sim\data_car\IMG\center_2021_07_10_15_32_18_922.jpg, D:\drive_sim\data_car\IMG\left_2021_07_10_15_32_18_922.jpg, D:\drive_sim\data_car\IMG\right_2021_07_10_15_32_18_922.jpg, 0, 0, 0, 7.914243E-05
D:\drive_sim\data_car\IMG\center_2021_07_10_15_32_19_025.jpg, D:\drive_sim\data_car\IMG\left_2021_07_10_15_32_19_025.jpg, D:\drive_sim\data_car\IMG\right_2021_07_10_15_32_19_025.jpg, 0, 0, 0, 7.807749E-05
D:\drive_sim\data_car\IMG\center_2021_07_10_15_32_19_124.jpg, D:\drive_sim\data_car\IMG\left_2021_07_10_15_32_19_124.jpg, D:\drive_sim\data_car\IMG\right_2021_07_10_15_32_19_124.jpg, 0, 0, 0, 7.770828E-05
D:\drive_sim\data_car\IMG\center_2021_07_10_15_32_19_226.jpg, D:\drive_sim\data_car\IMG\left_2021_07_10_15_32_19_226.jpg, D:\drive_sim\data_car\IMG\right_2021_07_10_15_32_19_226.jpg, 0, 0, 0, 7.825236E-05
D:\drive_sim\data_car\IMG\center_2021_07_10_15_32_19_327.jpg, D:\drive_sim\data_car\IMG\left_2021_07_10_15_32_19_327.jpg, D:\drive_sim\data_car\IMG\right_2021_07_10_15_32_19_327.jpg, 0, 0, 0, 7.813385E-05
D:\drive_sim\data_car\IMG\center_2021_07_10_15_32_19_426.jpg, D:\drive_sim\data_car\IMG\left_2021_07_10_15_32_19_426.jpg, D:\drive_sim\data_car\IMG\right_2021_07_10_15_32_19_426.jpg, 0, 0, 0, 8.080869E-05
D:\drive_sim\data_car\IMG\center_2021_07_10_15_32_19_527.jpg, D:\drive_sim\data_car\IMG\left_2021_07_10_15_32_19_527.jpg, D:\drive_sim\data_car\IMG\right_2021_07_10_15_32_19_527.jpg, 0, 0, 0, 7.869808E-05
D:\drive_sim\data_car\IMG\center_2021_07_10_15_32_19_630.jpg, D:\drive_sim\data_car\IMG\left_2021_07_10_15_32_19_630.jpg, D:\drive_sim\data_car\IMG\right_2021_07_10_15_32_19_630.jpg, 0, 0, 0, 8.079251E-05
D:\drive_sim\data_car\IMG\center_2021_07_10_15_32_19_732.jpg, D:\drive_sim\data_car\IMG\left_2021_07_10_15_32_19_732.jpg, D:\drive_sim\data_car\IMG\right_2021_07_10_15_32_19_732.jpg, 0, 0, 0, 7.891856E-05
D:\drive_sim\data_car\IMG\center_2021_07_10_15_32_19_833.jpg, D:\drive_sim\data_car\IMG\left_2021_07_10_15_32_19_833.jpg, D:\drive_sim\data_car\IMG\right_2021_07_10_15_32_19_833.jpg, 0, 0, 0, 8.133116E-05
D:\drive_sim\data_car\IMG\center_2021_07_10_15_32_19_936.jpg, D:\drive_sim\data_car\IMG\left_2021_07_10_15_32_19_936.jpg, D:\drive_sim\data_car\IMG\right_2021_07_10_15_32_19_936.jpg, 0, 0, 0, 8.440178E-05
D:\drive_sim\data_car\IMG\center_2021_07_10_15_32_20_038.jpg, D:\drive_sim\data_car\IMG\left_2021_07_10_15_32_20_038.jpg, D:\drive_sim\data_car\IMG\right_2021_07_10_15_32_20_038.jpg, 0, 0, 0, 8.040887E-05
